name,batch,location,description,tags,yc_profile_url,website,status,team_size
Infera,Spring 2026,"San Francisco, CA, USA",Control lab instruments with natural language.,"HEALTHCARE, INDUSTRIAL BIO",https://www.ycombinator.com/companies/infera,,,
Mount,Spring 2026,"San Francisco, CA, USA",The AI Agent Insurance Carrier,"FINTECH, INSURANCE",https://www.ycombinator.com/companies/mount,,,
Parrot,Spring 2026,"San Francisco, CA, USA",Agentic operating system for auto repair shops,B2B,https://www.ycombinator.com/companies/useparrot,,,
Result,Spring 2026,,Where new internet entrepreneurs build and run their companies,CONSUMER,https://www.ycombinator.com/companies/result,,,
Sidekick,Summer 2026,"San Francisco, CA, USA",AI-powered SMS assistant for deskless workers.,"B2B, OPERATIONS",https://www.ycombinator.com/companies/textsidekick,,,
Prototyping.io,Spring 2026,"San Francisco, CA, USA",Autonomous manufacturing for mechanical parts,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/prototypingio,,,
Lumius,Spring 2026,"Durham, NC, USA","Fast, smart, accessible 3D ultrasound that anyone can use","HEALTHCARE, MEDICAL DEVICES",https://www.ycombinator.com/companies/lumius,,,
Adialante,Spring 2026,"San Francisco, CA, USA",Cancer screening without barriers,"HEALTHCARE, DIAGNOSTICS",https://www.ycombinator.com/companies/adialante,,,
Savant,Spring 2026,"San Francisco, CA, USA",Company brain every AI-native enterprise runs on,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/savant,,,
Keyframe Labs,Spring 2026,"San Francisco, CA, USA",Turn agents into lifelike video calls with the word's best AI avatars,B2B,https://www.ycombinator.com/companies/keyframe-labs,,,
Voquill,Spring 2026,"San Francisco, CA, USA",The agentic OS for medical labs,HEALTHCARE,https://www.ycombinator.com/companies/voquill,,,
Oddpool,Spring 2026,"San Francisco, CA, USA",Institutional infrastructure for prediction markets,B2B,https://www.ycombinator.com/companies/oddpool,,,
Ontora,Spring 2026,"San Francisco, CA, USA",AI agents that interviews every employee to hand context to AI tools.,"B2B, OPERATIONS",https://www.ycombinator.com/companies/ontora,,,
Napkin Math,Spring 2026,"San Francisco, CA, USA",AI nutrition coach in your pocket,CONSUMER,https://www.ycombinator.com/companies/napkin-math,,,
"Gojiberry AISan Francisco, CA, USA",Spring 2026,,AI Go-To-Market agents for B2B teams,"B2B, SALES",https://www.ycombinator.com/companies/gojiberry-ai,,,
"Lab0San Francisco, CA, USA",Spring 2026,,"AI FDEs to make your B2B SaaS Go Live in Days, not Months",B2B,https://www.ycombinator.com/companies/lab0,,,
Bento,Spring 2026,"Labs AISan Francisco, CA, USA",Monitoring and learning layer for long-running agents,B2B,https://www.ycombinator.com/companies/bentolabs-ai,,,
Lamina Labs,Spring 2026,"San Francisco, CA, USA",Near-real-time video infrastructure for LLMs,B2B,https://www.ycombinator.com/companies/lamina-labs,,,
"Kimpton AISan Francisco, CA, USA",Spring 2026,,The IDE for Investors,"FINTECH, ASSET MANAGEMENT",https://www.ycombinator.com/companies/kimpton-ai,,,
StableBrowse,Spring 2026,"San Francisco, CA, USA",Help frontier labs build better models.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/stablebrowse,,,
Taiga,Spring 2026,"San Francisco, CA, USA",Autonomous medical billing,"HEALTHCARE, HEALTHCARE SERVICES",https://www.ycombinator.com/companies/taiga,,,
"PairioBY, Germany",Spring 2026,,AI mobile app that helps factory technicians fix broken machines,B2B,https://www.ycombinator.com/companies/pairio,,,
"Callab AISan Francisco, CA, USA",Spring 2026,,AI voice agents for on-prem telephony stack.,"B2B, OPERATIONS",https://www.ycombinator.com/companies/callab-ai,,,
Synphony,Spring 2026,"San Francisco, CA, USA",robots & software for farms,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/synphony,,,
Drip,Spring 2026,"San Francisco, CA, USA",Never miss a lead,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/drippay,,,
Arga Labs,Spring 2026,"San Francisco, CA, USA",Real-world sandboxes to test agents and agent-facing software,B2B,https://www.ycombinator.com/companies/arga-labs,,,
Andco,Spring 2026,"San Francisco, CA, USA",Agents that build personal injury cases,"B2B, LEGAL",https://www.ycombinator.com/companies/andco,,,
RentAHuman,Spring 2026,"San Francisco, CA, USA",Marketplace for AI agents to hire humans.,"CONSUMER, JOB AND CAREER SERVICES",https://www.ycombinator.com/companies/rentahuman,,,
InstaAgent,Spring 2026,"San Francisco, CA, USA",Scale marketing campaigns across hundreds of personas,"B2B, MARKETING",https://www.ycombinator.com/companies/instaagent,,,
Salesgraph,Spring 2026,"San Francisco, CA, USA",Proactive revenue agents that move enterprise deals forward,"B2B, SALES",https://www.ycombinator.com/companies/salesgraph,,,
Sherpa,Spring 2026,"San Francisco, CA, USA",Make websites improve themselves.,B2B,https://www.ycombinator.com/companies/sherpa,,,
Userlens,Spring 2026,"San Francisco, CA, USA",Agents that renew and expand six and seven-figure enterprise software,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/userlens,,,
transload,Spring 2026,"San Francisco, CA, USA",Measure freight with security cameras,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/transload,,,
Standout,Spring 2026,"San Francisco, CA, USA",Agentic hiring marketplace,"B2B, RECRUITING AND TALENT",https://www.ycombinator.com/companies/standout,,,
shotwell.ai,Spring 2026,"San Francisco, CA, USA",The Observability Layer for Robotics,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/shotwellai,,,
Madrone,Spring 2026,"San Francisco, CA, USA",Hyper-efficient coolers for data centers,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/madrone,,,
Pavoot,Spring 2026,"San Francisco, CA, USA",AI Event Manager for in-person events,"B2B, MARKETING",https://www.ycombinator.com/companies/pavoot,,,
qomplement,Spring 2026,"San Francisco, CA, USA",The Agentic ERP for supply chain operations,B2B,https://www.ycombinator.com/companies/qomplement,,,
Deep Interactions,Spring 2026,"San Francisco, CA, USA",Collaborative AI app builder for teams,B2B,https://www.ycombinator.com/companies/deep-interactions,,,
Kel,Spring 2026,"AINew York City, NY, USA",The AI Quant: Autonomous Alpha Engine for Funds and Traders.,"FINTECH, ASSET MANAGEMENT",https://www.ycombinator.com/companies/kelai,,,
"HEVN, inc",Spring 2026,,Global bank account for exporters,FINTECH,https://www.ycombinator.com/companies/hevn-inc,,,
Wealor,Spring 2026,"San Francisco, CA, USA",AI-native platform for wealth managers,"FINTECH, ASSET MANAGEMENT",https://www.ycombinator.com/companies/wealor,,,
"ElyraStockholm, Stockholm County, Sweden",Spring 2026,,AI Reservation System for Restaurants,B2B,https://www.ycombinator.com/companies/elyra,,,
Interfaze,Spring 2026,"San Francisco, CA, USA",AI model built for high accuracy deterministic tasks,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/interfaze,,,
Zolvo,Spring 2026,"San Francisco, CA, USA",AI Back-Office Automation for Commercial Lenders,"FINTECH, CREDIT AND LENDING",https://www.ycombinator.com/companies/zolvo,,,
Juno,Spring 2026,"San Francisco, CA, USA",AI Health Assistant for Chronic Illness,"HEALTHCARE, CONSUMER HEALTH AND WELLNESS",https://www.ycombinator.com/companies/juno-chat,,,
Kinro,Spring 2026,"San Francisco, CA, USA",Autonomous insurance brokerage for small businesses,"FINTECH, INSURANCE",https://www.ycombinator.com/companies/kinro,,,
GovGuard,Spring 2026,"San Francisco, CA, USA","Automating Government Workflows, starting with FOIA",GOVERNMENT,https://www.ycombinator.com/companies/govguard,,,
Superlog,Spring 2026,"San Francisco, CA, USA",Make software self-healing,B2B,https://www.ycombinator.com/companies/superlog,,,
GodHands,Fall 2026,"San Francisco, CA, USA",The company knowledge base that updates itself,B2B,https://www.ycombinator.com/companies/godhands,,,
Limrun,Spring 2026,"San Francisco, CA, USA","Extend cloud sandboxes with iOS, Android and more","B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/limrun,,,
Light Anchor,Spring 2026,"San Francisco, CA, USA",AI-run consumer brands,CONSUMER,https://www.ycombinator.com/companies/light-anchor,,,
Hub,Spring 2026,"San Francisco, CA, USA",Real-world training data for frontier AI labs and robotics.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/hub,,,
Tenet Industries,Spring 2026,"San Francisco, CA, USA","Low-cost, mass-producible defense systems","INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/tenet-industries,,,
Atrisa,Spring 2026,"San Francisco, CA, USA",AI Agents for Analog Circuit Design,B2B,https://www.ycombinator.com/companies/atrisa,,,
Trellis,Spring 2026,"San Francisco, CA, USA",Agents that run short-term rental operations end-to-end,"B2B, OPERATIONS",https://www.ycombinator.com/companies/trellistech,,,
The Company Company,Spring 2026,"San Francisco, CA, USA",The last agent your company will ever need.,B2B,https://www.ycombinator.com/companies/the-company-company,,,
"DayjobLondon, England, United Kingdom",Spring 2026,,AI Scheduling for Short Haul Trucks,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/dayjob,,,
InLoop Robotics,Spring 2026,"San Francisco, CA, USA",Robotic arms that pick and pack your orders.,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/inloop-robotics,,,
Zenbu,Spring 2026,"San Francisco, CA, USA",The extensible IDE for coding agents,B2B,https://www.ycombinator.com/companies/zenbu-2,,,
Andustry,Spring 2026,"Munich, BY, Germany",We help manufacturers find suppliers for industrial equipment.,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/andustry,,,
Nine Fives,Spring 2026,"San Francisco, CA, USA","RF test equipment for next-gen spacecraft, drones, and cellphones","INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/nine-fives,,,
Incandor,Spring 2026,"San Francisco, CA, USA",Behavioral intelligence infrastructure for anti-fraud,B2B,https://www.ycombinator.com/companies/incandor,,,
Chert,Spring 2026,"San Francisco, CA, USA",iMessage infrastructure for business,B2B,https://www.ycombinator.com/companies/chert,,,
Saffron,Spring 2026,"San Francisco, CA, USA",Helping your company find 10x engineers.,"B2B, RECRUITING AND TALENT",https://www.ycombinator.com/companies/saffron,,,
Discovered Materials,Spring 2026,"San Francisco, CA, USA",AI scientists to discover materials for the semiconductor industry.,INDUSTRIALS,https://www.ycombinator.com/companies/discovered-materials,,,
Lightsprint,Spring 2026,"San Francisco, CA, USA",Collaborative product development with cloud agents,B2B,https://www.ycombinator.com/companies/lightsprint,,,
Twolabs,Spring 2026,"San Francisco, CA, USA",Humanoid robot platform for builders.,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/twolabs,,,
Scope,Spring 2026,"San Francisco, CA, USA",We help software companies get discovered and used by AI agents,B2B,https://www.ycombinator.com/companies/scope,,,
Hexa,Spring 2026,"San Francisco, CA, USA",Autonomous operations for industrial distributors,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/hexa,,,
Palette,Summer 2026,"San Francisco, CA, USA",An interactive AI video generation and editing platform,B2B,https://www.ycombinator.com/companies/palette-2,,,
Rudus,Spring 2026,"San Francisco, CA, USA",AI Takeoffs for Concrete,"REAL ESTATE AND CONSTRUCTION, CONSTRUCTION",https://www.ycombinator.com/companies/rudus,,,
Replicas,Spring 2026,"San Francisco, CA, USA",Run any coding agent harness in the cloud,B2B,https://www.ycombinator.com/companies/replicas,,,
Totalis,Spring 2026,"San Francisco, CA, USA",derivative layer for prediction markets,"FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/totalis,,,
With,Spring 2026,"AISan Francisco, CA, USA",Agent harnesses for asset managers,B2B,https://www.ycombinator.com/companies/withai,,,
Osmaura,Summer 2026,"San Francisco, CA, USA",AI growth engine for law firms.,B2B,https://www.ycombinator.com/companies/osmaura,,,
Instance,Summer 2026,"San Francisco, CA, USA",Automated evals for robot policies,B2B,https://www.ycombinator.com/companies/instance,,,
Illume Labs,Summer 2026,"Boston, MA, USA",24/7 Personal Health & Longevity Companion,"HEALTHCARE, CONSUMER HEALTH AND WELLNESS",https://www.ycombinator.com/companies/illume-labs,,,
Memoir,Spring 2026,"San Francisco, CA, USA",Marketing campaigns from everything your team ships,"B2B, MARKETING",https://www.ycombinator.com/companies/memoir,,,
"PerfectBit, Inc.San Francisco, CA, USA",Spring 2026,,Correct by construction AI training data,B2B,https://www.ycombinator.com/companies/perfectbit-inc,,,
Stage,Spring 2026,"San Francisco, CA, USA",Code review platform for humans and agents,B2B,https://www.ycombinator.com/companies/stage,,,
Standard Signal,Spring 2026,"New York City, NY, USA",Hedge fund where AI researches and executes every trade end-to-end,"FINTECH, ASSET MANAGEMENT",https://www.ycombinator.com/companies/standard-signal,,,
primitive,Spring 2026,"San Francisco, CA, USA",communication for agents,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/primitive,,,
Korso,Spring 2026,"Los Angeles, CA, USA",Tooling for the next generation of software.,B2B,https://www.ycombinator.com/companies/korso,,,
Klarify,Spring 2026,"San Francisco, CA, USA",AI Agent for Therapists,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/klarify,,,
Surtr Defense Systems,Spring 2026,"San Francisco, CA, USA",The hardware-agnostic operating system for drone defense,"INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/surtr-defense-systems,,,
Hedge,Spring 2026,"San Francisco, CA, USA",AI-Native insurance company,"FINTECH, INSURANCE",https://www.ycombinator.com/companies/hedge,,,
Cardinal,Winter 2026,"San Francisco, CA, USA",AI Platform for Precision Outbound,B2B,https://www.ycombinator.com/companies/trycardinal-ai,,,
Wideframe,Winter 2026,"San Francisco, CA, USA",AI coworker for video editors to ship more video faster,B2B,https://www.ycombinator.com/companies/wideframe,,,
Martini,Winter 2026,"San Francisco, CA, USA",AI Video Production for Professionals,B2B,https://www.ycombinator.com/companies/martini,,,
Litmus,Summer 2026,"New York City, NY, USA",Run an async work trial on every engineer you interview.,"B2B, RECRUITING AND TALENT",https://www.ycombinator.com/companies/litmus-hiring,,,
"Condor EnergyParis, Île-de-France, France",Winter 2026,,Software for enterprise energy procurement.,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/condor-energy,,,
Remix,Winter 2026,"San Francisco, CA, USA",Social media content auto-generated with your existing data,CONSUMER,https://www.ycombinator.com/companies/remix-3,,,
Shofo,Winter 2026,"San Francisco, CA, USA",The World's Largest Video Library,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/shofo,,,
Wayco,Winter 2026,"New York City, NY, USA",AI operator for medlegal cases,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/wayco,,,
"Applied Electrodynamics, Inc.San Francisco, CA, USA",Summer 2026,,A new kind of camera that can see through walls.,INDUSTRIALS,https://www.ycombinator.com/companies/applied-electrodynamics-inc,,,
Unifold,Winter 2026,"New York City, NY, USA",Multi-chain deposit and payment infrastructure,"FINTECH, PAYMENTS",https://www.ycombinator.com/companies/unifold,,,
Carrot Labs,Winter 2026,"San Francisco, CA, USA",AI Cost Management: Track and attribute AI spend across every provider,B2B,https://www.ycombinator.com/companies/carrot-labs,,,
Dispatch,Spring 2026,"San Francisco, CA, USA",Satellites for Manufacturing in Space,"INDUSTRIALS, AVIATION AND SPACE",https://www.ycombinator.com/companies/dispatch,,,
Bloom,Spring 2026,"San Francisco, CA, USA",The brand layer for agents.,B2B,https://www.ycombinator.com/companies/trybloom,,,
"Aurorin CADSan Francisco, CA, USA",Winter 2026,,Claude code for Mechanical Engineers,B2B,https://www.ycombinator.com/companies/aurorin-cad,,,
Fixture,Winter 2026,,An AI-first CRM built for Startups,"B2B, SALES",https://www.ycombinator.com/companies/fixture,,,
"DAIVIN!San Francisco, CA, USA",Winter 2026,,"Tankless Dive Gear - Breath Autonomy at Sea, Land & Space","INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/daivin,,,
"Brumby (Formerly GrazeMate)Sydney, NSW, Australia",Winter 2026,,Robot Cowboys that Herd Cattle with AI Drones,"INDUSTRIALS, AGRICULTURE",https://www.ycombinator.com/companies/brumby,,,
Origami Robotics,Winter 2026,"San Francisco, CA, USA",Manipulate Anything Robot,INDUSTRIALS,https://www.ycombinator.com/companies/origami-robotics,,,
Ossus,Winter 2026,"San Francisco, CA, USA",Intelligence for cultural institutions,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/ossus,,,
"Rubric AINew York City, NY, USA",Winter 2026,,Reasoning and verification infra for AI,B2B,https://www.ycombinator.com/companies/rubric-ai,,,
Regbase,Spring 2026,"San Francisco, CA, USA","Automating Corporate Compliance, Worldwide","B2B, LEGAL",https://www.ycombinator.com/companies/regbase,,,
"ZymblyLondon, England, United Kingdom",Winter 2026,,Automates admin for aircraft mechanics,B2B,https://www.ycombinator.com/companies/zymbly,,,
Ritivel,Winter 2026,"Bengaluru, KA, India",AI-native platform for Life-Sciences Documentation,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/ritivel,,,
Polymorph,Winter 2026,"San Francisco, CA, USA",Building the future of the consumer internet,B2B,https://www.ycombinator.com/companies/polymorph,,,
"PollinateBrisbane, QLD, Australia",Winter 2026,,AI Agents for the supply chain.,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/pollinate,,,
SpotPay,Winter 2026,"San Francisco, CA, USA",Stablecoin Global Bank Account,"FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/spotpay,,,
Poth Labs,Summer 2026,"San Francisco, CA, USA",Helping companies understand why users behave the way they do,B2B,https://www.ycombinator.com/companies/poth-labs,,,
"VOYGRSan Francisco, CA, USA",Winter 2026,,Real-world place intelligence for AI apps and agents,B2B,https://www.ycombinator.com/companies/voygr,,,
MochaCare,Winter 2026,"San Francisco, CA, USA",Agentic Management Service for Care Organizations,"B2B, OPERATIONS",https://www.ycombinator.com/companies/mochacare,,,
Cova,Summer 2026,"Detroit, MI, USA",AI-Native Home Care Agency,HEALTHCARE,https://www.ycombinator.com/companies/cova,,,
Vela,Winter 2026,"San Francisco, CA, USA",AI Recruiting Coordinator for Executive Search,B2B,https://www.ycombinator.com/companies/vela,,,
Supafax,Winter 2026,"San Francisco, CA, USA",AI assistant for your email and calendar,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/supafax,,,
Talking Computers,Winter 2026,,AI for AI Infrastructure,B2B,https://www.ycombinator.com/companies/talking-computers,,,
Control Seat,Summer 2026,"San Francisco, CA, USA",Control and Monitoring of Industrial Operations,INDUSTRIALS,https://www.ycombinator.com/companies/control-seat,,,
Copperlane,Winter 2026,"San Francisco, CA, USA",Agentic Mortgage Origination,"FINTECH, CREDIT AND LENDING",https://www.ycombinator.com/companies/copperlane,,,
Tsenta,Summer 2026,"San Francisco, CA, USA",We match you with jobs and apply automatically,"CONSUMER, JOB AND CAREER SERVICES",https://www.ycombinator.com/companies/tsenta,,,
Canary,Winter 2026,"San Francisco, CA, USA",The first AI QA engineer that understands your code,B2B,https://www.ycombinator.com/companies/canary,,,
Grade,Winter 2026,"San Francisco, CA, USA",API for performance-based payroll,FINTECH,https://www.ycombinator.com/companies/grade,,,
Sila,Winter 2026,"New York City, NY, USA",Agent-Native Messaging Platform,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/sila,,,
Maven,Winter 2026,"San Francisco, CA, USA",Payments Infrastructure for Voice Agents,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/maven,,,
Moda,Winter 2026,"San Francisco, CA, USA",Continual learning for AI agents,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/moda,,,
The Token Company,Winter 2026,"San Francisco, CA, USA",Compression middleware that improves LLM outputs,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/the-token-company,,,
Bee,Winter 2026,"Safe AISan Francisco, CA, USA",Frontier AI Defenses for Social Engineering Attacks,"B2B, SECURITY",https://www.ycombinator.com/companies/beesafe-ai,,,
"Fed10San Francisco, CA, USA",Winter 2026,,AI Agents for Government Affairs,"B2B, LEGAL",https://www.ycombinator.com/companies/fed10,,,
Inth,Spring 2026,"San Francisco, CA, USA",Enterprise privacy governance for companies that ship fast,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/inth,,,
"SquidLondon, England, United Kingdom",Winter 2026,,AI agents for power grid planning 🦑,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/squid,,,
Crow,Winter 2026,"San Francisco, CA, USA",,B2B,https://www.ycombinator.com/companies/crow,,,
Foreman,Winter 2026,"San Francisco, CA, USA","Keeping contractors on the job site, not behind a desk.",REAL ESTATE AND CONSTRUCTION,https://www.ycombinator.com/companies/foreman,,,
Booko,Winter 2026,"San Francisco, CA, USA",Dynamically pricing the whole economy.,B2B,https://www.ycombinator.com/companies/booko,,,
Corelayer,Winter 2026,"San Francisco, CA, USA",AI production engineer for regulated industries,B2B,https://www.ycombinator.com/companies/corelayer,,,
General Legal,Winter 2026,,Elite AI law firm for high growth companies,"B2B, LEGAL",https://www.ycombinator.com/companies/general-legal,,,
Fort,Winter 2026,"San Francisco, CA, USA",Strength Tracking Wearable,"CONSUMER, CONSUMER ELECTRONICS",https://www.ycombinator.com/companies/fort,,,
"BalanceLondon, England, United Kingdom",Winter 2026,,Full-Stack AI Accounting,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/getbalance,,,
Ekpa,Summer 2026,"Boston, MA, USA",Building Autonomous Research Agents for Trading,"FINTECH, ASSET MANAGEMENT",https://www.ycombinator.com/companies/ekpa,,,
Chasi,Winter 2026,"San Francisco, CA, USA",AI Revenue Engine for the Equipment Industry,B2B,https://www.ycombinator.com/companies/chasi,,,
Anchorhead,Winter 2026,"San Francisco, CA, USA",Fractional buyer for hardware companies in critical industries,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/anchorhead,,,
"o11San Francisco, CA, USA",Winter 2026,,Bespoke AI For Financial Firms,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/o11,,,
Doomersion,Winter 2026,"San Francisco, CA, USA",Doomscroll to learn languages,CONSUMER,https://www.ycombinator.com/companies/doomersion,,,
Sequence Markets,Winter 2026,"Toronto, ON, Canada","Low-latency execution across crypto, prediction, and tokenized assets",FINTECH,https://www.ycombinator.com/companies/sequence-markets,,,
Libra Robotics,Summer 2026,"San Francisco, CA, USA",Autonomous robots for solar farm construction,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/libra-robotics,,,
Ditto Biosciences,Winter 2026,"San Francisco, CA, USA",Evolutionary intelligence for autoimmune disease,"HEALTHCARE, DRUG DISCOVERY AND DELIVERY",https://www.ycombinator.com/companies/ditto-biosciences,,,
"Servo7Amsterdam, NH, Netherlands",Winter 2026,,Container unloading robots for warehouses,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/servo7,,,
Datoric,Summer 2026,"San Francisco, CA, USA",Security-first training data,B2B,https://www.ycombinator.com/companies/datoric,,,
Superset,Spring 2026,"San Francisco, CA, USA",Building the platform for software factories,B2B,https://www.ycombinator.com/companies/superset,,,
"NetterParis, Île-de-France, France",Spring 2026,,AI native Palantir for mid market.,"B2B, ANALYTICS",https://www.ycombinator.com/companies/netter,,,
Voxel Energy,Winter 2026,,Energy independent data centers with solar and repurposed batteries.,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/voxel-energy,,,
Polymath,Winter 2026,"San Francisco, CA, USA",Simulation environments to train & evaluate long-horizon AI agents,B2B,https://www.ycombinator.com/companies/polymath,,,
Archal,Summer 2026,"San Francisco, CA, USA",The improvement loop for AI agents,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/archal,,,
Bubble Lab,Winter 2026,"San Francisco, CA, USA",Operating system for premium professional communities,"B2B, OPERATIONS",https://www.ycombinator.com/companies/bubble-lab,,,
Pocket,Winter 2026,"San Francisco, CA, USA",Take Notes in the Real World,CONSUMER,https://www.ycombinator.com/companies/pocket,,,
Byteport,Winter 2026,"San Francisco, CA, USA",Global upload acceleration for 1GB-100TB files.,B2B,https://www.ycombinator.com/companies/byteport,,,
Constellation Space,Winter 2026,"Seattle, WA, USA",AI operating system for mega-scale satellite networks.,"B2B, ANALYTICS",https://www.ycombinator.com/companies/constellation-space,,,
Sazabi,Spring 2026,"San Francisco, CA, USA",The AI-native observability platform for fast-moving engineering teams,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/sazabi,,,
Mendral,Winter 2026,"San Francisco, CA, USA",AI DevOps Engineer,B2B,https://www.ycombinator.com/companies/mendral,,,
AxionOrbital Space,Winter 2026,"San Francisco, CA, USA",Foundation models for 24/7 Earth Observation,"INDUSTRIALS, AVIATION AND SPACE",https://www.ycombinator.com/companies/axionorbital-space,,,
Oximy,Winter 2026,"San Francisco, CA, USA",Take command of the AI your company already runs on.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/oximy,,,
Caretta,Winter 2026,"San Francisco, CA, USA",Realtime AI for Sales Calls,"B2B, SALES",https://www.ycombinator.com/companies/caretta,,,
Samora AI,Winter 2026,,Multilingual voice agents that outperform humans,B2B,https://www.ycombinator.com/companies/samora-ai,,,
Human Archive,Winter 2026,"San Francisco, CA, USA",Multimodal data provider for robotics and world modeling,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/human-archive,,,
Forum,Winter 2026,"New York City, NY, USA",The first exchange to trade on attention.,FINTECH,https://www.ycombinator.com/companies/forum,,,
"SitefireBY, Germany",Winter 2026,,Marketing suite for the agentic web,"B2B, MARKETING",https://www.ycombinator.com/companies/sitefire,,,
Robby,Winter 2026,"Boston, MA, USA",AI agents that grow revenue for home services businesses,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/robby,,,
"Ressl AISan Francisco, CA, USA",Winter 2026,,"Train, eval and build autonomous agents",B2B,https://www.ycombinator.com/companies/ressl-ai,,,
Emdash,Winter 2026,"San Francisco, CA, USA",Open-source Agentic Development Environment,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/emdash,,,
InventoryQuant,Winter 2026,"San Francisco, CA, USA",We automate the inventory process in insurance,B2B,https://www.ycombinator.com/companies/inventoryquant,,,
Congruent,Winter 2026,"San Francisco, CA, USA",AI native radars for self-driving cars,INDUSTRIALS,https://www.ycombinator.com/companies/congruent,,,
Reframe,Winter 2026,"San Francisco, CA, USA","AI-native, hardware procurement marketplace",B2B,https://www.ycombinator.com/companies/usereframe,,,
Valence,Winter 2026,"San Francisco, CA, USA",Unified prediction markets trading platform,"FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/valence,,,
9 Mothers,Spring 2026,"Austin, TX, USA",Counter Drone Systems. $1.6m sales. We delivered for the DoW.,"INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/9-mothers-corporation,,,
Approxima,Winter 2026,"San Francisco, CA, USA",Your software should build itself.,B2B,https://www.ycombinator.com/companies/approxima,,,
Traverse,Winter 2026,"San Francisco, CA, USA",Research lab solving non-verifiable work,B2B,https://www.ycombinator.com/companies/traverse,,,
Revion,Winter 2026,"New York City, NY, USA",Intelligence for Automotive Operations,B2B,https://www.ycombinator.com/companies/revion,,,
Maywood,Winter 2026,"New York City, NY, USA",The first finance-compliant proactive AI that runs 24/7,"FINTECH, BANKING AND EXCHANGE",https://www.ycombinator.com/companies/maywood,,,
"Fenrock AISan Francisco, CA, USA",Winter 2026,,AI agents for banks,"FINTECH, BANKING AND EXCHANGE",https://www.ycombinator.com/companies/fenrock-ai,,,
End Close,Winter 2026,,AI powered reconciliation for high-volume payments companies,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/end-close,,,
